j. j. hill,10,B,0,0, ,0,0, 
chicken and rice,16,B,4.0,1,A ,13.0,1, B
english lavender,16,B,8.0,1,A ,0,0, 
gilbert islands,15,B,0,0, ,0,0, 
uruguay potato,14,B,4.0,1,A ,0,0, 
cleaning lady,13,B,7.0,1,A ,0,0, 
landing strip,13,B,8.0,1,A ,9.0,1, B
market garden,13,B,6.0,1,A ,0,0, 
flame stitch,12,B,12.0,1, B,0,0, 
long measure,12,B,10.0,1, B,0,0, 
element 105,11,B,15.0,1, B,0,0, 
factor viii,11,B,17.0,1, B,0,0, 
rat terrier,11,B,7.0,1,A ,17.0,1, B
milch cow,9,B,6.0,1,A ,9.333333333333334,6,A B
pine nut,8,B,9.0,1, B,0,0, 
redistribution,14,A,12.0,1,A ,0,0, 
vesiculitis,11,A,12.0,1,A ,0,0, 
indicator,9,A,4.0,1,A ,12.333333333333334,6, B
wesleyism,9,A,13.0,1,A ,0,0, 
kreisler,8,A,0,0, ,0,0, 
phalguna,8,A,18.0,1, B,0,0, 
voltaren,8,A,29.0,1, B,0,0, 
festoon,7,A,7.0,1,A ,0,0, 
redwing,7,A,17.0,1, B,0,0, 
coyote,6,A,4.0,1,A ,6.0,1,A 
manure,6,A,7.0,1,A ,10.6,5, B
marrow,6,A,16.0,1, B,10.5,2, B
asdic,5,A,20.5,2, B,0,0, 
dhoti,5,A,11.0,1,A ,0,0, 
bane,4,A,10.0,1,A ,0,0, 
