file, totalLetter, totalWord, totalSentence, vietnamese formula result
data/ppVietnamese_by_catalog/Difficult/l/l (188).txt,77242,11116,308,15.115626942327197
data/ppVietnamese_by_catalog/Difficult/l/l (189).txt,73625,10171,376,13.88754222999475
data/ppVietnamese_by_catalog/Difficult/l/l (190).txt,49063,6944,298,12.791451071660532
data/ppVietnamese_by_catalog/Difficult/l/l (191).txt,54597,7578,371,12.494518036677317
data/ppVietnamese_by_catalog/Difficult/l/l (192).txt,8228,1153,50,12.884333044232438
data/ppVietnamese_by_catalog/Difficult/l/l (194).txt,44610,6452,235,13.319334133569008
data/ppVietnamese_by_catalog/Difficult/l/l (195).txt,59870,7764,284,14.890068281922343
data/ppVietnamese_by_catalog/Difficult/l/l (196).txt,62063,7903,303,14.922689173890184
data/ppVietnamese_by_catalog/Difficult/l/l (197).txt,69022,8885,295,15.560476140514865
data/ppVietnamese_by_catalog/Difficult/l/l (199).txt,61577,7996,298,14.768393928507876
data/ppVietnamese_by_catalog/Difficult/l/l (2).txt,39628,5236,282,12.850220784638807
data/ppVietnamese_by_catalog/Difficult/l/l (20).txt,11764,1667,28,20.021120061701946
data/ppVietnamese_by_catalog/Difficult/l/l (200).txt,32349,4730,196,12.504754713724815
data/ppVietnamese_by_catalog/Difficult/l/l (202).txt,37870,5086,194,14.135158976936893
data/ppVietnamese_by_catalog/Difficult/l/l (203).txt,46461,6531,171,15.866432963437532
data/ppVietnamese_by_catalog/Difficult/l/l (204).txt,50597,7006,252,14.004222684411094
data/ppVietnamese_by_catalog/Difficult/l/l (205).txt,16843,2532,55,16.511380152233237
data/ppVietnamese_by_catalog/Difficult/l/l (206).txt,8391,1213,32,15.416369538334706
data/ppVietnamese_by_catalog/Difficult/l/l (207).txt,25630,3714,119,14.043847716792694
data/ppVietnamese_by_catalog/Difficult/l/l (208).txt,32366,5300,140,13.785013477088949
data/ppVietnamese_by_catalog/Difficult/l/l (209).txt,63019,8907,238,15.6353174210068
data/ppVietnamese_by_catalog/Difficult/l/l (210).txt,12709,1463,53,16.894643985607246
data/ppVietnamese_by_catalog/Difficult/l/l (211).txt,46593,6645,212,14.292344222496698
data/ppVietnamese_by_catalog/Difficult/l/l (212).txt,40282,5263,153,16.18735779066836
data/ppVietnamese_by_catalog/Difficult/l/l (214).txt,41570,5257,189,15.378066634258381
data/ppVietnamese_by_catalog/Difficult/l/l (215).txt,5102,677,19,16.198693928321543
data/ppVietnamese_by_catalog/Difficult/l/l (216).txt,34724,4597,198,13.75067819812218
data/ppVietnamese_by_catalog/Difficult/l/l (217).txt,28242,3890,97,16.54092703999152
data/ppVietnamese_by_catalog/Difficult/l/l (218).txt,47150,7110,285,12.252483529498853
data/ppVietnamese_by_catalog/Difficult/l/l (219).txt,71792,9564,371,14.168760434738985
data/ppVietnamese_by_catalog/Difficult/l/l (220).txt,4203,645,26,11.994096601073345
data/ppVietnamese_by_catalog/Difficult/l/l (225).txt,39881,5760,233,12.791775453028137
data/ppVietnamese_by_catalog/Difficult/l/l (226).txt,49594,7249,224,14.155312185917271
data/ppVietnamese_by_catalog/Difficult/l/l (227).txt,26778,3860,114,14.646541223525134
data/ppVietnamese_by_catalog/Difficult/l/l (23).txt,62336,9559,231,15.318558924772965
data/ppVietnamese_by_catalog/Difficult/l/l (24).txt,32874,4947,139,14.408464689740022
data/ppVietnamese_by_catalog/Difficult/l/l (26).txt,47855,6333,222,14.81830608438851
data/ppVietnamese_by_catalog/Difficult/l/l (27).txt,62332,10031,310,12.899486495091026
data/ppVietnamese_by_catalog/Difficult/l/l (28).txt,17556,2345,101,13.616698684793853
data/ppVietnamese_by_catalog/Difficult/l/l (30).txt,16266,2439,170,10.207665147239709
data/ppVietnamese_by_catalog/Difficult/l/l (32).txt,17924,2603,128,11.838989267191703
data/ppVietnamese_by_catalog/Difficult/l/l (34).txt,49166,6510,205,15.455981416957027
data/ppVietnamese_by_catalog/Difficult/l/l (35).txt,53247,7693,329,12.51956987700894
