filename,words/sentences,letters/senetences,letters/words,blw,lable,predict
traindata,traindata,traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,20.7,151.5,7.318840579710145,13.131313131313133,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,29.23076923076923,206.46153846153845,7.063157894736842,11.842105263157894,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,24.34375,142.71875,5.862644415917844,10.465116279069768,1,2.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,13.0,78.04166666666667,6.003205128205129,22.22222222222222,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,24.110169491525422,178.46610169491527,7.402108963093146,10.612855007473842,3,2.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,18.2,92.2,5.065934065934066,14.634146341463413,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,20.875,129.875,6.221556886227545,13.88888888888889,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,52.758620689655174,374.12068965517244,7.091176470588235,10.207336523125997,3,2.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (636).txt,12.307692307692308,73.53846153846153,5.975,20.238095238095237,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (492).txt,21.7,148.6,6.847926267281106,19.791666666666664,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-11/vm-11 (32).txt,11.833333333333334,63.416666666666664,5.359154929577465,14.492753623188406,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (349).txt,27.531645569620252,187.72151898734177,6.818390804597701,11.487758945386064,3,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (273).txt,20.72222222222222,119.94444444444444,5.7882037533512065,14.695340501792115,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (753).txt,18.5,118.875,6.425675675675675,14.534883720930234,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (65).txt,14.705882352941176,89.3529411764706,6.076,10.476190476190476,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (304).txt,23.0,136.57894736842104,5.938215102974828,15.950920245398773,1,2.0
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (134).txt,17.944444444444443,110.88888888888889,6.179566563467493,17.431192660550458,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (39).txt,22.136363636363637,131.22727272727272,5.9281314168377826,13.253012048192772,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (538).txt,15.620689655172415,98.82758620689656,6.326710816777042,14.666666666666666,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (26).txt,14.545454545454545,76.54545454545455,5.2625,6.493506493506493,1,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (8).txt,14.1,83.2,5.900709219858156,14.084507042253522,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (111).txt,21.0,115.375,5.494047619047619,19.014084507042252,1,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,18.5,114.57142857142857,6.193050193050193,16.51376146788991,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (50).txt,14.4,86.2,5.986111111111111,17.94871794871795,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (380).txt,20.4390243902439,117.60975609756098,5.75417661097852,10.569105691056912,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (491).txt,23.23076923076923,149.3846153846154,6.430463576158941,14.615384615384617,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (236).txt,22.65,151.85,6.704194260485651,11.620294599018004,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (527).txt,19.555555555555557,118.11111111111111,6.0397727272727275,7.6923076923076925,2,2.0
