15,B,7.0,1, B,17.5,2,A B
15,B,5.0,1,A ,19.0,1, B
15,B,7.0,1, B,16.0,1, B
15,B,16.0,1, B,16.0,1, B
15,B,11.0,1, B,17.25,4, B
14,B,6.0,1,A ,12.0,3, B
14,B,2.0,1,A ,14.5,2, B
14,B,7.0,1, B,15.0,2, B
14,B,6.0,1,A ,20.5,2, B
14,B,7.0,1, B,17.0,2, B
14,B,6.0,1,A ,18.0,1, B
14,B,7.0,1, B,19.0,2, B
14,B,10.0,1, B,21.0,2, B
14,B,19.0,1, B,14.0,6, B
14,B,12.0,1, B,16.0,1, B
14,B,11.0,1, B,18.2,5, B
14,B,7.0,1, B,24.0,2, B
14,B,11.0,1, B,18.5,2, B
14,B,7.0,1, B,13.0,1, B
14,B,7.0,1, B,15.0,1, B
14,B,6.0,1, B,15.5,2, B
14,B,8.0,1, B,15.5,2, B
14,B,8.0,1, B,22.5,2, B
14,B,14.0,1, B,20.0,1, B
14,B,7.0,1, B,14.0,1, B
14,B,15.0,1, B,17.0,2, B
14,B,15.0,1, B,17.0,2, B
14,B,8.0,1, B,15.0,1, B
14,B,6.0,1, B,15.75,4, B
14,B,4.0,1,A ,20.0,1, B
14,B,4.0,1,A ,16.0,1, B
14,B,5.0,2, B,14.5,2, B
14,B,9.0,1, B,28.0,1, B
14,B,6.0,1, B,17.0,2, B
14,B,6.0,1, B,17.0,1, B
14,B,12.0,1, B,15.0,1, B
14,B,10.0,1, B,19.0,1, B
14,B,21.0,1, B,22.0,1, B
14,B,8.0,1, B,14.0,1, B
14,B,6.0,1, B,13.666666666666666,3, B
14,B,5.0,1, B,31.0,1, B
14,B,6.0,1, B,18.666666666666668,3, B
14,B,7.0,1, B,16.0,2, B
14,B,8.0,1, B,16.0,1, B
14,B,8.0,1, B,11.0,2, B
14,B,10.0,1, B,13.0,1, B
14,B,8.0,1, B,15.0,1, B
14,B,8.0,1, B,21.0,1, B
13,B,8.0,1, B,15.5,2, B
13,B,8.0,1, B,14.0,1, B
13,B,17.0,1, B,14.0,1, B
13,B,12.0,1, B,18.0,1, B
13,B,4.0,1,A ,19.0,1, B
13,B,12.0,1, B,15.5,2, B
13,B,6.0,1, B,17.0,1, B
13,B,6.0,1, B,17.0,1, B
13,B,12.0,1, B,18.5,2, B
13,B,12.0,1, B,18.5,2, B
13,B,11.0,1, B,12.0,1, B
13,B,8.0,1, B,17.0,1, B
13,B,5.0,1, B,23.0,1, B
13,B,8.5,2, B,19.0,1, B
13,B,10.0,1, B,21.0,2, B
13,B,4.0,1,A ,14.5,4, B
13,B,4.0,1,A ,13.0,1, B
13,B,10.0,1, B,28.0,1, B
13,B,6.0,1, B,12.4,5, B
13,B,2.0,1,A ,15.0,1, B
13,B,6.0,1, B,16.0,1, B
13,B,6.0,1, B,10.5,2, B
13,B,5.0,1,A ,21.0,2, B
13,B,5.0,1,A ,15.0,2, B
13,B,14.0,1, B,15.0,1, B
13,B,8.0,1, B,15.0,2, B
13,B,8.0,1, B,13.5,2, B
13,B,8.0,1, B,19.0,2, B
13,B,8.0,1, B,15.166666666666666,6, B
13,B,6.0,1, B,15.833333333333334,6, B
13,B,5.0,1, B,18.666666666666668,3, B
13,B,6.0,1, B,12.666666666666666,3, B
13,B,5.0,1, B,15.7,10, B
13,B,12.0,1, B,18.0,2, B
13,B,15.0,1, B,15.555555555555555,9, B
13,B,10.0,1, B,17.0,1, B
13,B,2.0,1,A ,18.0,2, B
13,B,7.0,1, B,21.0,1, B
13,B,9.0,1, B,13.333333333333334,3, B
13,B,11.0,1, B,15.4,5, B
13,B,6.0,1, B,13.5,4, B
13,B,7.0,1, B,17.0,1, B
13,B,9.0,1, B,45.0,1, B
13,B,12.0,1, B,25.0,1, B
13,B,13.0,1, B,18.5,2, B
13,B,11.0,1, B,44.0,1, B
13,B,12.0,1, B,23.0,1, B
13,B,8.0,1, B,16.0,1, B
13,B,11.0,1, B,16.5,2, B
13,B,6.0,1, B,18.0,1, B
13,B,17.0,1, B,16.75,4, B
13,B,13.0,1, B,19.0,1, B
13,B,6.0,1, B,16.5,2, B
13,B,3.0,1,A ,14.0,2, B
13,B,8.0,1, B,18.6,5, B
13,B,7.0,1, B,30.0,4, B
13,B,15.0,1, B,18.0,2, B
13,B,6.0,1, B,16.90909090909091,11, B
13,B,12.0,1, B,14.333333333333334,3, B
13,B,10.0,1, B,19.0,1, B
13,B,11.0,1, B,8.0,1,A 
13,B,14.0,1, B,24.285714285714285,7, B
13,B,20.0,1, B,14.0,1, B
13,B,20.0,1, B,14.0,1, B
13,B,15.0,1, B,21.333333333333332,3, B
13,B,10.5,2, B,14.0,2, B
13,B,12.0,1, B,15.833333333333334,6, B
13,B,7.0,1, B,15.0,2, B
13,B,12.0,1, B,19.0,1, B
13,B,11.0,1, B,18.5,2, B
13,B,3.0,1,A ,14.0,2, B
13,B,8.0,1, B,7.0,1, B
12,B,4.0,1, B,18.5,2, B
12,B,6.0,1, B,15.0,1, B
12,B,9.0,1, B,15.5,2, B
12,B,6.0,1, B,14.0,1, B
12,B,2.0,1,A ,15.81578947368421,38, B
12,B,15.0,1, B,11.333333333333334,3, B
12,B,17.0,1, B,11.0,1, B
12,B,14.0,1, B,11.666666666666666,3, B
12,B,14.0,1, B,11.5,4, B
12,B,19.0,2, B,17.0,1, B
12,B,8.0,1, B,14.916666666666666,24,A B
12,B,9.0,1, B,18.0,1, B
12,B,19.0,2, B,44.5,2, B
12,B,10.0,1, B,17.5,2, B
12,B,20.0,1, B,11.333333333333334,3, B
12,B,3.0,1,A ,16.0,1, B
12,B,7.0,1, B,15.0,1, B
12,B,13.0,1, B,15.5,2, B
12,B,13.0,1, B,16.0,1, B
12,B,5.0,1, B,15.0,1, B
12,B,5.0,1, B,14.0,2, B
12,B,8.0,1, B,15.0,1, B
12,B,7.0,1, B,14.0,1, B
12,B,10.0,1, B,21.0,1, B
12,B,3.0,1,A ,20.0,1, B
12,B,9.0,1, B,20.0,3, B
12,B,9.0,1, B,15.0,1, B
12,B,13.0,2, B,12.0,1, B
12,B,10.0,1, B,18.666666666666668,3, B
12,B,3.0,1,A ,13.0,2, B
12,B,7.0,1, B,26.5,2, B
12,B,12.0,1, B,18.0,1, B
12,B,9.0,1, B,16.5,2, B
12,B,7.0,1, B,12.0,1, B
12,B,6.0,1, B,16.0,1, B
12,B,9.0,1, B,13.0,3, B
12,B,10.0,1, B,15.0,1, B
12,B,6.0,1, B,13.0,1, B
12,B,14.0,1, B,12.333333333333334,3, B
12,B,5.0,1,A ,15.5,2, B
12,B,14.0,1, B,14.5,2, B
12,B,8.0,1, B,14.25,4, B
12,B,8.0,1, B,17.0,3, B
12,B,8.0,1, B,13.5,2, B
12,B,6.0,1, B,9.0,1, B
12,B,4.0,1,A ,14.0,1, B
12,B,8.0,1, B,30.0,1, B
12,B,4.0,1,A ,43.0,1, B
12,B,11.0,1, B,17.0,4, B
12,B,7.0,1, B,14.0,1, B
12,B,7.0,1, B,12.333333333333334,3, B
12,B,7.0,1, B,13.833333333333334,12,A B
12,B,12.0,1, B,11.5,2,A B
12,B,5.0,1, B,25.0,2, B
12,B,11.0,1, B,13.0,1, B
12,B,12.0,1, B,18.0,1, B
12,B,6.0,1, B,22.333333333333332,6, B
12,B,10.0,1, B,13.0,1, B
12,B,12.0,1, B,23.0,1, B
12,B,15.0,2, B,22.0,1, B
12,B,11.0,1, B,12.0,1, B
12,B,8.0,1, B,16.0,3, B
12,B,8.0,1, B,16.0,3, B
12,B,10.0,1, B,16.666666666666668,3, B
12,B,15.0,1, B,16.0,1, B
12,B,10.0,1, B,15.333333333333334,3, B
12,B,7.0,1, B,26.0,1, B
12,B,14.0,1, B,15.0,2, B
12,B,10.0,1, B,15.5,2, B
12,B,6.0,1, B,16.0,1, B
12,B,8.0,1, B,11.8,5, B
12,B,6.0,1, B,17.666666666666668,3, B
12,B,6.0,1, B,11.0,1, B
12,B,6.0,1, B,20.333333333333332,3, B
12,B,6.0,1, B,13.0,1, B
12,B,2.0,1,A ,14.0,2, B
12,B,15.0,1, B,14.0,1, B
12,B,8.0,1, B,20.0,1, B
12,B,6.0,1, B,10.0,1, B
12,B,7.0,1, B,11.0,2, B
12,B,16.0,1, B,10.333333333333334,3, B
12,B,8.5,2, B,17.5,2, B
12,B,5.0,1, B,15.0,1, B
12,B,4.0,1,A ,14.0,1, B
12,B,6.0,1, B,18.0,1, B
12,B,20.0,1, B,24.0,2, B
12,B,15.0,1, B,16.375,8, B
12,B,11.0,1, B,26.5,2, B
12,B,10.0,1, B,15.0,2, B
12,B,21.0,1, B,16.0,1, B
12,B,3.0,1,A ,9.0,1, B
11,B,4.0,1,A ,12.0,1, B
11,B,5.0,1,A ,13.25,16, B
11,B,5.0,1, B,16.0,1, B
11,B,10.0,1, B,11.0,1, B
11,B,14.0,1, B,14.5,2, B
11,B,10.0,1, B,19.0,1, B
11,B,6.0,1, B,12.0,1, B
11,B,7.0,1, B,12.5,2, B
11,B,15.0,1, B,14.5,4, B
11,B,7.0,1, B,24.0,1, B
11,B,17.0,1, B,5.0,1, B
11,B,11.0,1, B,11.5,2, B
11,B,5.0,1, B,18.0,1, B
11,B,5.0,1, B,18.0,1, B
11,B,8.0,1, B,13.0,2, B
11,B,9.0,1, B,21.0,2, B
11,B,7.0,1, B,12.0,1, B
11,B,6.0,1, B,14.5,2,A B
11,B,14.0,1, B,19.0,1, B
11,B,6.0,1, B,17.8,5, B
11,B,6.0,1, B,11.0,2, B
11,B,11.0,1, B,15.0,1, B
11,B,8.0,1, B,13.0,1, B
11,B,3.0,1,A ,7.0,2, B
11,B,5.0,1, B,30.0,1, B
11,B,6.0,1, B,16.5,2, B
11,B,13.0,1, B,13.0,1, B
11,B,6.0,1, B,20.875,8, B
11,B,10.0,1, B,15.0,1, B
11,B,7.0,1, B,12.0,1, B
11,B,5.0,1, B,15.0,1, B
11,B,5.0,1, B,15.0,1, B
11,B,6.0,1, B,13.5,2, B
11,B,6.0,1, B,15.0,2, B
11,B,13.0,1, B,15.0,1, B
11,B,9.0,1, B,14.0,3, B
11,B,12.0,1, B,20.5,2, B
11,B,9.0,1, B,14.0,1, B
11,B,7.0,1, B,11.75,4, B
11,B,2.0,1,A ,15.5,2, B
11,B,2.0,1,A ,11.5,2, B
11,B,2.0,1,A ,11.5,2, B
11,B,5.0,1,A ,16.5,2, B
11,B,5.0,1, B,10.0,2, B
11,B,17.0,1, B,14.4,5, B
11,B,14.0,1, B,14.333333333333334,3, B
11,B,5.0,1, B,13.666666666666666,3, B
11,B,13.0,1, B,17.333333333333332,3, B
11,B,6.0,1, B,14.0,1, B
11,B,6.0,1, B,12.0,1, B
11,B,10.0,1, B,12.0,1, B
11,B,9.0,1, B,17.0,1, B
11,B,20.0,1, B,16.0,1, B
11,B,3.0,1,A ,20.0,1, B
11,B,5.0,1, B,22.0,1, B
11,B,7.0,1, B,12.0,2, B
11,B,12.0,2, B,14.666666666666666,3, B
11,B,2.0,1,A ,14.333333333333334,6, B
11,B,14.0,1, B,14.0,1, B
11,B,6.0,1, B,16.0,1, B
11,B,11.0,1, B,15.0,2, B
11,B,4.0,1,A ,15.0,1, B
11,B,10.0,1, B,18.0,1, B
11,B,15.0,1, B,15.0,3, B
11,B,5.0,1, B,14.5,2, B
11,B,8.0,1, B,18.0,1, B
11,B,17.0,1, B,11.0,1, B
11,B,6.0,1, B,11.0,2, B
11,B,6.0,1, B,15.0,2, B
11,B,7.0,1, B,15.0,2, B
11,B,5.0,1, B,15.0,1, B
11,B,15.0,1, B,17.0,1, B
11,B,6.0,1, B,12.5,2, B
11,B,6.0,1, B,18.333333333333332,3, B
11,B,15.0,1, B,13.5,2, B
11,B,8.0,1, B,18.0,1, B
11,B,14.5,2, B,12.333333333333334,3, B
11,B,12.0,1, B,18.0,1, B
11,B,5.0,1, B,13.0,1, B
11,B,8.0,1, B,15.0,1, B
11,B,20.0,1, B,19.0,2, B
11,B,8.0,1, B,14.0,2, B
11,B,10.0,1, B,17.0,1, B
11,B,7.0,1, B,12.0,1, B
10,B,6.0,1, B,16.0,4, B
10,B,4.0,1, B,31.0,1, B
10,B,8.0,1, B,13.0,1, B
10,B,7.0,1, B,24.0,1, B
10,B,7.0,1, B,11.0,1, B
10,B,5.0,1, B,15.0,1, B
10,B,8.0,1, B,13.0,2, B
10,B,9.0,1, B,13.333333333333334,3, B
10,B,4.0,1,A ,10.0,1, B
10,B,9.0,1, B,12.4375,16, B
10,B,12.0,1, B,9.0,2, B
10,B,11.0,1, B,10.5,2, B
10,B,7.0,1, B,21.0,1, B
10,B,5.0,1, B,23.0,1, B
10,B,5.0,1, B,11.0,1, B
10,B,6.0,1, B,19.0,1, B
10,B,11.0,1, B,15.25,4, B
10,B,3.0,1,A ,11.0,1, B
10,B,9.0,1, B,10.75,4, B
10,B,6.0,1, B,13.0,3, B
10,B,10.0,1, B,8.0,1, B
10,B,6.0,1, B,25.0,1, B
10,B,2.0,1,A ,22.0,1, B
10,B,5.0,1, B,13.0,1, B
10,B,5.0,1, B,10.5,2, B
10,B,7.0,1, B,15.1,10, B
10,B,10.0,1, B,22.0,1, B
10,B,12.0,1, B,14.0,1, B
10,B,6.0,1, B,16.0,1, B
10,B,7.0,1, B,22.5,2, B
10,B,9.0,1, B,17.0,2, B
10,B,13.0,1, B,9.5,2, B
10,B,10.0,1, B,17.0,1, B
10,B,3.0,1,A ,14.833333333333334,18, B
10,B,6.0,1, B,18.0,1, B
10,B,11.0,1, B,19.0,2, B
10,B,6.0,1, B,17.333333333333332,3, B
10,B,8.5,2, B,21.5,2, B
10,B,10.0,1, B,11.0,5,A B
10,B,3.0,1,A ,16.333333333333332,3, B
10,B,22.0,1, B,11.5,2, B
10,B,14.0,1, B,18.5,2, B
10,B,10.0,1, B,15.0,2, B
10,B,3.0,1,A ,15.5,4, B
10,B,8.0,1, B,12.0,1, B
10,B,13.0,1, B,11.0,1, B
10,B,14.0,1, B,12.666666666666666,3, B
10,B,12.0,2, B,14.833333333333334,6, B
9,B,6.0,1, B,14.0,1, B
9,B,9.0,1, B,12.0,1, B
9,B,23.0,1, B,19.0,1, B
9,B,5.0,1, B,11.5,2, B
9,B,10.0,1, B,17.333333333333332,3, B
9,B,7.0,1, B,11.0,1, B
9,B,19.0,1, B,15.375,16, B
9,B,10.0,1, B,12.0,1, B
8,B,10.0,1, B,9.777777777777779,9,A B
8,B,5.0,1, B,18.5,2, B
17,B,11.0,1,A ,12.0,1, B
11,B,3.0,1,A ,15.666666666666666,3, B
10,B,16.0,1, B,13.5,2, B
8,B,2.0,1,A ,13.0,2, B
8,B,10.0,1, B,15.0,1, B
15,B,11.0,1, B,25.5,2, B
15,B,13.0,1,A ,23.0,1, B
14,B,11.0,1, B,39.0,1, B
14,B,7.0,1, B,21.0,1, B
14,B,15.0,1, B,12.0,1, B
14,B,6.0,1, B,11.0,1, B
13,B,20.0,1, B,13.0,1, B
13,B,28.0,1, B,46.0,1, B
13,B,6.0,1, B,22.0,1, B
13,B,6.0,1, B,16.333333333333332,3,A B
13,B,7.0,1, B,18.0,1, B
13,B,15.0,1, B,18.0,3, B
13,B,7.0,1, B,11.5,2, B
13,B,6.0,1, B,16.333333333333332,6, B
13,B,3.0,1,A ,15.0,5, B
13,B,10.0,1,A ,15.75,4, B
12,B,5.0,1, B,18.5,2, B
12,B,12.0,1,A ,20.0,1, B
12,B,2.0,1,A ,17.285714285714285,7, B
12,B,7.0,1, B,17.5,2, B
12,B,11.0,1, B,17.8,5, B
12,B,8.0,1, B,20.0,1, B
12,B,13.0,1, B,18.666666666666668,3, B
12,B,9.0,1, B,11.0,1, B
11,B,8.0,2, B,14.818181818181818,11, B
11,B,9.0,1, B,22.333333333333332,3, B
11,B,12.0,1, B,20.0,1, B
11,B,7.0,1, B,15.0,2, B
11,B,9.0,1, B,13.222222222222221,9,A B
11,B,8.0,1, B,16.5,2, B
11,B,10.0,1, B,13.0,1, B
11,B,9.0,1, B,14.0,1, B
11,B,10.0,1, B,15.0,1, B
11,B,13.0,1, B,14.5,2, B
11,B,3.0,1,A ,16.0,1, B
11,B,14.0,1, B,12.0,1, B
11,B,6.0,1,A ,15.0,1, B
11,B,10.0,1, B,15.333333333333334,6, B
11,B,8.0,1, B,18.5,2, B
11,B,15.0,1, B,20.375,8,A B
11,B,3.0,1,A ,7.0,1, B
11,B,5.0,1, B,12.5,2, B
11,B,8.0,1, B,18.0,3, B
11,B,12.0,1, B,25.0,1, B
11,B,7.0,1, B,15.5,2, B
11,B,4.0,1, B,18.0,1, B
11,B,11.0,1, B,23.0,3, B
11,B,11.0,1, B,12.0,1, B
11,B,6.0,1,A ,14.0,1, B
11,B,8.0,1, B,14.6,5, B
11,B,6.0,1, B,14.5,2,A B
11,B,6.0,1, B,16.0,1, B
11,B,13.0,1, B,17.0,3, B
11,B,3.0,1,A ,6.0,1, B
