file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/medium/8-budh-7.tei,6.4,7.01
data/English Textbook 4 Readability Level/medium/8-budh-8.tei,5.2,7.0
data/English Textbook 4 Readability Level/medium/8-genSci-9.tei,4.8,6.16
data/English Textbook 4 Readability Level/medium/8-hind-1.tei,6.8,7.58
data/English Textbook 4 Readability Level/medium/8-hind-2.tei,6.8,7.08
data/English Textbook 4 Readability Level/medium/8-hind-3.tei,6.8,7.34
data/English Textbook 4 Readability Level/medium/8-hind-4.tei,6.4,7.55
data/English Textbook 4 Readability Level/medium/8-hind-5.tei,6.8,7.64
data/English Textbook 4 Readability Level/medium/8-hind-6.tei,4.8,6.69
data/English Textbook 4 Readability Level/medium/8-hind-7.tei,4.8,6.65
data/English Textbook 4 Readability Level/medium/8-hind-8.tei,4.8,6.32
data/English Textbook 4 Readability Level/medium/8-hind-9.tei,6.4,7.16
data/English Textbook 4 Readability Level/medium/8-homeEco-1.tei,6.0,6.51
data/English Textbook 4 Readability Level/medium/8-homeEco-10.tei,6.0,7.19
data/English Textbook 4 Readability Level/medium/8-homeEco-11.tei,5.6,6.76
data/English Textbook 4 Readability Level/medium/8-homeEco-12.tei,6.0,6.52
data/English Textbook 4 Readability Level/medium/8-homeEco-13.tei,6.0,7.15
data/English Textbook 4 Readability Level/medium/8-homeEco-14.tei,5.2,6.12
data/English Textbook 4 Readability Level/medium/8-homeEco-15.tei,5.6,6.27
data/English Textbook 4 Readability Level/medium/8-homeEco-16.tei,5.6,6.38
data/English Textbook 4 Readability Level/medium/8-homeEco-17.tei,5.6,6.46
data/English Textbook 4 Readability Level/medium/8-homeEco-2.tei,7.2,6.95
data/English Textbook 4 Readability Level/medium/8-homeEco-3.tei,6.8,6.99
data/English Textbook 4 Readability Level/medium/8-homeEco-4.tei,7.2,6.86
data/English Textbook 4 Readability Level/medium/8-homeEco-5.tei,5.6,7.04
data/English Textbook 4 Readability Level/medium/8-homeEco-6.tei,8.0,6.97
data/English Textbook 4 Readability Level/medium/8-homeEco-7.tei,6.4,6.58
data/English Textbook 4 Readability Level/medium/8-homeEco-8.tei,7.6,7.76
data/English Textbook 4 Readability Level/medium/8-homeEco-9.tei,6.0,6.76
data/English Textbook 4 Readability Level/medium/8-islam-1.tei,6.0,7.01
data/English Textbook 4 Readability Level/medium/8-islam-2.tei,6.4,6.58
data/English Textbook 4 Readability Level/medium/8-islam-3.tei,6.4,7.1
data/English Textbook 4 Readability Level/medium/8-islam-4.tei,6.4,7.12
data/English Textbook 4 Readability Level/medium/8-islam-5.tei,6.4,7.06
data/English Textbook 4 Readability Level/medium/8-genSci-15.tei,7.2,7.39
data/English Textbook 4 Readability Level/medium/8-genSci-16.tei,6.0,7.78
data/English Textbook 4 Readability Level/medium/8-genSci-17.tei,8.4,7.83
data/English Textbook 4 Readability Level/medium/8-genSci-18.tei,8.4,8.27
data/English Textbook 4 Readability Level/medium/8-genSci-19.tei,5.6,7.66
data/English Textbook 4 Readability Level/medium/8-genSci-2.tei,8.0,6.36
data/English Textbook 4 Readability Level/medium/8-genSci-20.tei,8.0,6.89
data/English Textbook 4 Readability Level/medium/8-genSci-21.tei,7.2,7.67
data/English Textbook 4 Readability Level/medium/8-genSci-22.tei,9.9,8.08
data/English Textbook 4 Readability Level/medium/8-genSci-23.tei,8.0,6.5
data/English Textbook 4 Readability Level/medium/8-genSci-24.tei,9.1,7.89
data/English Textbook 4 Readability Level/medium/8-genSci-25.tei,8.8,7.77
data/English Textbook 4 Readability Level/medium/8-genSci-3.tei,8.0,6.84
data/English Textbook 4 Readability Level/medium/8-genSci-4.tei,6.4,6.46
data/English Textbook 4 Readability Level/medium/8-genSci-5.tei,6.8,6.54
data/English Textbook 4 Readability Level/medium/8-genSci-6.tei,5.6,6.38
data/English Textbook 4 Readability Level/medium/8-genSci-7.tei,6.8,6.8
data/English Textbook 4 Readability Level/veryEasy/3-christ-1.tei,1.7,5.7
data/English Textbook 4 Readability Level/veryEasy/3-christ-10.tei,3.3,6.01
data/English Textbook 4 Readability Level/veryEasy/3-christ-11.tei,4.1,6.39
data/English Textbook 4 Readability Level/veryEasy/3-christ-12.tei,3.3,6.27
data/English Textbook 4 Readability Level/veryEasy/3-christ-13.tei,4.4,7.36
data/English Textbook 4 Readability Level/veryEasy/3-christ-2.tei,2.9,5.81
data/English Textbook 4 Readability Level/veryEasy/3-christ-3.tei,3.3,5.89
data/English Textbook 4 Readability Level/veryEasy/3-christ-4.tei,1.7,5.93
data/English Textbook 4 Readability Level/veryEasy/3-christ-5.tei,3.3,5.71
data/English Textbook 4 Readability Level/veryEasy/3-christ-6.tei,4.4,6.59
data/English Textbook 4 Readability Level/veryEasy/3-christ-7.tei,4.1,6.56
data/English Textbook 4 Readability Level/veryEasy/3-christ-8.tei,3.3,6.25
data/English Textbook 4 Readability Level/veryEasy/3-christ-9.tei,3.3,5.98
data/English Textbook 4 Readability Level/veryEasy/3-hind-1.tei,3.3,6.21
data/English Textbook 4 Readability Level/veryEasy/3-hind-2.tei,3.7,6.76
data/English Textbook 4 Readability Level/veryEasy/3-hind-3.tei,4.8,7.11
data/English Textbook 4 Readability Level/veryEasy/3-hind-4.tei,3.7,6.39
data/English Textbook 4 Readability Level/veryEasy/3-hind-5.tei,3.7,6.31
data/English Textbook 4 Readability Level/veryEasy/3-hind-6.tei,5.2,6.96
data/English Textbook 4 Readability Level/veryEasy/3-islam-1.tei,3.7,6.67
data/English Textbook 4 Readability Level/veryEasy/3-islam-2.tei,4.1,6.16
data/English Textbook 4 Readability Level/veryEasy/3-islam-3.tei,2.9,6.33
data/English Textbook 4 Readability Level/veryEasy/3-sci-1.tei,4.8,6.32
data/English Textbook 4 Readability Level/veryEasy/3-sci-2.tei,4.1,6.24
data/English Textbook 4 Readability Level/veryEasy/3-sci-3.tei,5.6,6.73
data/English Textbook 4 Readability Level/veryEasy/3-sci-4.tei,5.6,7.32
data/English Textbook 4 Readability Level/veryEasy/3-sci-5.tei,4.8,7.03
data/English Textbook 4 Readability Level/veryEasy/3-sci-6.tei,6.0,7.53
data/English Textbook 4 Readability Level/veryEasy/3-sci-7.tei,6.0,6.74
data/English Textbook 4 Readability Level/veryEasy/3-sci-8.tei,2.5,6.12
data/English Textbook 4 Readability Level/veryEasy/3-sci-9.tei,6.4,7.03
data/English Textbook 4 Readability Level/veryEasy/3-socStud-1.tei,5.2,6.53
data/English Textbook 4 Readability Level/veryEasy/3-socStud-10.tei,5.6,8.03
data/English Textbook 4 Readability Level/veryEasy/3-socStud-11.tei,5.6,6.44
data/English Textbook 4 Readability Level/veryEasy/3-socStud-2.tei,4.4,6.76
data/English Textbook 4 Readability Level/veryEasy/3-socStud-3.tei,2.1,6.14
data/English Textbook 4 Readability Level/veryEasy/3-socStud-4.tei,5.6,6.88
data/English Textbook 4 Readability Level/veryEasy/3-socStud-6.tei,4.1,6.3
data/English Textbook 4 Readability Level/veryEasy/3-socStud-7.tei,4.4,5.96
data/English Textbook 4 Readability Level/veryEasy/3-socStud-8.tei,4.1,7.07
data/English Textbook 4 Readability Level/veryEasy/3-socStud-9.tei,4.1,6.34
data/English Textbook 4 Readability Level/veryEasy/4-budh-1.tei,4.1,6.41
data/English Textbook 4 Readability Level/veryEasy/4-budh-2.tei,5.2,7.39
data/English Textbook 4 Readability Level/veryEasy/4-budh-3.tei,8.0,8.84
data/English Textbook 4 Readability Level/veryEasy/4-budh-4.tei,5.6,7.51
data/English Textbook 4 Readability Level/veryEasy/4-budh-5.tei,2.5,6.41
data/English Textbook 4 Readability Level/veryEasy/4-budh-6.tei,5.6,7.05
data/English Textbook 4 Readability Level/veryEasy/4-budh-7.tei,6.8,7.67
data/English Textbook 4 Readability Level/veryEasy/4-budh-8.tei,2.9,6.18
data/English Textbook 4 Readability Level/veryEasy/4-budh-9.tei,5.6,7.52
data/English Textbook 4 Readability Level/veryEasy/4-christ-1.tei,2.9,5.62
data/English Textbook 4 Readability Level/veryEasy/4-christ-10.tei,3.3,6.0
data/English Textbook 4 Readability Level/veryEasy/4-christ-11.tei,6.8,6.85
data/English Textbook 4 Readability Level/veryEasy/4-christ-12.tei,5.6,6.8
data/English Textbook 4 Readability Level/veryEasy/4-christ-3.tei,2.5,6.33
data/English Textbook 4 Readability Level/veryEasy/4-christ-4.tei,2.1,6.25
data/English Textbook 4 Readability Level/veryEasy/4-christ-5.tei,2.9,6.5
data/English Textbook 4 Readability Level/veryEasy/4-christ-6.tei,2.9,5.93
data/English Textbook 4 Readability Level/veryEasy/4-christ-7.tei,2.9,5.69
data/English Textbook 4 Readability Level/veryEasy/4-christ-8.tei,2.9,5.98
data/English Textbook 4 Readability Level/veryEasy/4-christ-9.tei,4.1,6.5
data/English Textbook 4 Readability Level/veryEasy/4-hind-1.tei,3.7,6.39
data/English Textbook 4 Readability Level/veryEasy/4-hind-2.tei,5.2,6.81
data/English Textbook 4 Readability Level/veryEasy/4-hind-3.tei,5.2,6.25
data/English Textbook 4 Readability Level/veryEasy/4-hind-4.tei,4.8,6.73
data/English Textbook 4 Readability Level/veryEasy/4-hind-5.tei,2.9,5.77
data/English Textbook 4 Readability Level/veryEasy/4-islam-1.tei,2.9,6.3
data/English Textbook 4 Readability Level/veryEasy/4-islam-2.tei,4.8,6.56
data/English Textbook 4 Readability Level/veryEasy/4-islam-3.tei,4.4,6.63
data/English Textbook 4 Readability Level/veryEasy/4-islam-4.tei,2.9,6.31
data/English Textbook 4 Readability Level/veryEasy/4-islam-5.tei,4.4,7.63
data/English Textbook 4 Readability Level/veryEasy/4-sci-1.tei,4.1,6.12
data/English Textbook 4 Readability Level/veryEasy/3-hind-7.tei,2.5,5.63
data/English Textbook 4 Readability Level/veryEasy/3-socStud-5.tei,4.1,6.61
data/English Textbook 4 Readability Level/veryEasy/4-christ-2.tei,2.9,5.6
data/English Textbook 4 Readability Level/veryEasy/4-sci-10.tei,6.0,6.49
data/English Textbook 4 Readability Level/veryEasy/4-sci-11.tei,6.0,7.91
data/English Textbook 4 Readability Level/veryEasy/4-sci-2.tei,5.6,6.79
data/English Textbook 4 Readability Level/veryEasy/4-sci-3.tei,5.6,7.7
data/English Textbook 4 Readability Level/veryEasy/4-sci-4.tei,5.6,7.92
data/English Textbook 4 Readability Level/veryEasy/4-sci-5.tei,6.4,7.28
data/English Textbook 4 Readability Level/veryEasy/4-sci-6.tei,4.4,6.31
data/English Textbook 4 Readability Level/veryEasy/4-sci-7.tei,4.4,6.97
data/English Textbook 4 Readability Level/veryEasy/4-sci-8.tei,5.6,7.07
data/English Textbook 4 Readability Level/veryEasy/4-sci-9.tei,4.4,7.04
data/English Textbook 4 Readability Level/veryEasy/4-socStud-1.tei,3.7,6.29
data/English Textbook 4 Readability Level/veryEasy/4-socStud-10.tei,8.8,9.33
data/English Textbook 4 Readability Level/veryEasy/4-socStud-11.tei,7.6,8.41
data/English Textbook 4 Readability Level/veryEasy/4-socStud-12.tei,5.2,7.49
data/English Textbook 4 Readability Level/veryEasy/4-socStud-13.tei,2.9,6.76
data/English Textbook 4 Readability Level/veryEasy/4-socStud-14.tei,5.6,6.87
data/English Textbook 4 Readability Level/veryEasy/4-socStud-15.tei,6.0,6.36
data/English Textbook 4 Readability Level/veryEasy/4-socStud-16.tei,5.6,7.06
data/English Textbook 4 Readability Level/veryEasy/4-socStud-17.tei,6.4,7.7
data/English Textbook 4 Readability Level/veryEasy/4-socStud-18.tei,6.8,8.32
data/English Textbook 4 Readability Level/veryEasy/4-socStud-2.tei,4.4,6.59
data/English Textbook 4 Readability Level/veryEasy/4-socStud-3.tei,5.6,6.89
data/English Textbook 4 Readability Level/veryEasy/4-socStud-4.tei,6.8,6.71
data/English Textbook 4 Readability Level/veryEasy/4-socStud-5.tei,5.6,6.98
data/English Textbook 4 Readability Level/veryEasy/4-socStud-6.tei,6.8,8.0
data/English Textbook 4 Readability Level/veryEasy/4-socStud-7.tei,5.6,7.51
data/English Textbook 4 Readability Level/veryEasy/4-socStud-8.tei,6.8,7.99
data/English Textbook 4 Readability Level/veryEasy/4-socStud-9.tei,7.2,8.1
