file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/difficult/9-geo-8.tei,8.0,7.42
data/English Textbook 4 Readability Level/difficult/9-geo-9.tei,8.8,7.05
data/English Textbook 4 Readability Level/difficult/9-hind-1.tei,6.4,7.53
data/English Textbook 4 Readability Level/difficult/9-hind-2.tei,5.2,7.07
data/English Textbook 4 Readability Level/difficult/9-hind-3.tei,6.0,7.1
data/English Textbook 4 Readability Level/difficult/9-hind-4.tei,7.6,7.57
data/English Textbook 4 Readability Level/difficult/9-agri-5.tei,6.4,6.57
data/English Textbook 4 Readability Level/difficult/9-budh-10.tei,8.0,7.35
data/English Textbook 4 Readability Level/difficult/9-genSci-10.tei,8.4,7.66
data/English Textbook 4 Readability Level/difficult/9-hind-5.tei,6.0,7.29
data/English Textbook 4 Readability Level/difficult/9-hind-6.tei,5.2,6.4
data/English Textbook 4 Readability Level/difficult/9-hind-7.tei,6.4,7.07
data/English Textbook 4 Readability Level/difficult/9-homeEco-1.tei,9.5,7.2
data/English Textbook 4 Readability Level/difficult/9-homeEco-10.tei,7.6,7.32
data/English Textbook 4 Readability Level/difficult/9-homeEco-11.tei,7.6,7.08
data/English Textbook 4 Readability Level/difficult/9-homeEco-12.tei,9.1,7.47
data/English Textbook 4 Readability Level/difficult/9-homeEco-13.tei,7.2,6.76
data/English Textbook 4 Readability Level/difficult/9-homeEco-14.tei,6.0,6.52
data/English Textbook 4 Readability Level/difficult/9-homeEco-15.tei,8.0,6.73
data/English Textbook 4 Readability Level/difficult/9-homeEco-16.tei,6.0,6.31
data/English Textbook 4 Readability Level/difficult/9-homeEco-17.tei,5.6,6.19
data/English Textbook 4 Readability Level/difficult/9-homeEco-2.tei,9.9,6.9
data/English Textbook 4 Readability Level/difficult/9-homeEco-3.tei,9.9,7.01
data/English Textbook 4 Readability Level/difficult/9-homeEco-4.tei,6.4,6.17
data/English Textbook 4 Readability Level/difficult/9-homeEco-5.tei,6.4,6.21
data/English Textbook 4 Readability Level/difficult/9-homeEco-6.tei,7.2,6.56
data/English Textbook 4 Readability Level/difficult/9-homeEco-7.tei,9.5,6.89
data/English Textbook 4 Readability Level/difficult/9-homeEco-8.tei,9.9,7.32
data/English Textbook 4 Readability Level/difficult/9-homeEco-9.tei,7.6,6.74
data/English Textbook 4 Readability Level/difficult/9-islam-1.tei,7.6,6.83
data/English Textbook 4 Readability Level/difficult/9-islam-2.tei,8.4,6.66
data/English Textbook 4 Readability Level/difficult/9-islam-3.tei,6.4,6.59
data/English Textbook 4 Readability Level/difficult/9-islam-4.tei,7.6,6.77
data/English Textbook 4 Readability Level/difficult/9-islam-5.tei,7.6,7.35
data/English Textbook 4 Readability Level/easy/5-budh-1.tei,6.8,8.03
data/English Textbook 4 Readability Level/easy/5-budh-10.tei,4.4,6.03
data/English Textbook 4 Readability Level/easy/5-budh-11.tei,6.8,7.82
data/English Textbook 4 Readability Level/easy/5-budh-12.tei,5.6,6.73
data/English Textbook 4 Readability Level/easy/5-budh-2.tei,6.0,7.19
data/English Textbook 4 Readability Level/easy/5-budh-3.tei,7.2,7.79
data/English Textbook 4 Readability Level/easy/5-budh-4.tei,6.4,7.99
data/English Textbook 4 Readability Level/easy/5-budh-5.tei,8.8,8.71
data/English Textbook 4 Readability Level/easy/5-budh-6.tei,7.2,7.32
data/English Textbook 4 Readability Level/easy/5-budh-7.tei,2.9,6.22
data/English Textbook 4 Readability Level/easy/5-budh-8.tei,7.2,8.86
data/English Textbook 4 Readability Level/easy/5-budh-9.tei,7.2,7.42
data/English Textbook 4 Readability Level/easy/5-christ-1.tei,3.7,5.89
data/English Textbook 4 Readability Level/easy/5-christ-10.tei,5.2,6.96
data/English Textbook 4 Readability Level/easy/5-christ-11.tei,6.4,7.18
data/English Textbook 4 Readability Level/easy/5-christ-12.tei,3.7,6.48
data/English Textbook 4 Readability Level/easy/5-christ-13.tei,5.2,6.33
data/English Textbook 4 Readability Level/easy/5-christ-14.tei,2.1,5.53
data/English Textbook 4 Readability Level/easy/5-christ-16.tei,6.4,7.33
data/English Textbook 4 Readability Level/easy/5-christ-17.tei,8.0,7.71
data/English Textbook 4 Readability Level/easy/5-christ-2.tei,3.3,5.95
data/English Textbook 4 Readability Level/easy/5-christ-3.tei,3.7,6.17
data/English Textbook 4 Readability Level/easy/5-christ-4.tei,4.0,6.1
data/English Textbook 4 Readability Level/easy/5-christ-5.tei,5.2,6.9
data/English Textbook 4 Readability Level/easy/5-christ-6.tei,3.7,7.11
data/English Textbook 4 Readability Level/easy/5-christ-7.tei,3.7,6.29
data/English Textbook 4 Readability Level/easy/5-christ-8.tei,3.7,5.95
data/English Textbook 4 Readability Level/easy/5-christ-9.tei,4.8,6.39
data/English Textbook 4 Readability Level/easy/5-hind-1.tei,4.1,6.55
data/English Textbook 4 Readability Level/easy/5-hind-2.tei,5.6,6.65
data/English Textbook 4 Readability Level/easy/5-hind-3.tei,5.2,6.48
data/English Textbook 4 Readability Level/easy/5-hind-4.tei,4.4,6.53
data/English Textbook 4 Readability Level/easy/5-hind-5.tei,3.3,5.98
data/English Textbook 4 Readability Level/easy/5-islam-1.tei,4.8,6.7
data/English Textbook 4 Readability Level/easy/5-islam-2.tei,4.8,6.35
data/English Textbook 4 Readability Level/easy/5-islam-3.tei,4.4,6.7
data/English Textbook 4 Readability Level/easy/5-islam-5.tei,4.4,7.18
data/English Textbook 4 Readability Level/easy/5-islam-6.tei,4.8,6.85
data/English Textbook 4 Readability Level/easy/5-sci-1.tei,4.4,6.66
data/English Textbook 4 Readability Level/easy/5-sci-10.tei,5.2,6.59
data/English Textbook 4 Readability Level/easy/5-sci-11.tei,6.0,6.67
data/English Textbook 4 Readability Level/easy/5-sci-12.tei,5.2,6.29
data/English Textbook 4 Readability Level/easy/5-sci-13.tei,8.0,7.6
data/English Textbook 4 Readability Level/easy/5-sci-14.tei,8.4,6.74
data/English Textbook 4 Readability Level/easy/5-sci-15.tei,7.6,7.62
data/English Textbook 4 Readability Level/easy/5-sci-16.tei,7.2,7.71
data/English Textbook 4 Readability Level/easy/5-sci-17.tei,5.2,7.24
data/English Textbook 4 Readability Level/easy/5-sci-2.tei,6.4,7.48
data/English Textbook 4 Readability Level/easy/5-sci-3.tei,6.0,6.88
data/English Textbook 4 Readability Level/easy/5-sci-4.tei,6.0,7.17
data/English Textbook 4 Readability Level/easy/5-sci-5.tei,6.0,6.94
data/English Textbook 4 Readability Level/easy/5-sci-6.tei,5.6,7.2
