bear,4,A,9.0,1,A ,10.0,7,A B
bread,5,A,9.0,2,A B,9.064516129032258,31,A B
chest,5,A,8.0,1, B,10.0,2, B
jacket,6,A,4.0,1,A ,10.0,24,A B
lunch,5,A,4.0,1,A ,13.0,1, B
automatic,9,A,13.0,2, B,17.0,2, B
basket,6,A,9.0,1,A ,8.333333333333334,9,A B
fly,3,A,15.0,1, B,7.625,8,A B
gun,3,A,6.0,1,A ,8.090909090909092,11,A B
base,4,A,20.0,1, B,8.2,5,A B
check,5,A,5.0,1,A ,9.454545454545455,11,A B
distribution,12,A,11.0,1,A ,18.666666666666668,6,A B
jump,4,A,8.0,1,A ,11.0,1, B
button,6,A,8.0,1,A ,10.5,2, B
cap,3,A,9.0,1,A ,7.857142857142857,28,A B
chapel,6,A,14.0,1, B,9.0,3,A B
flag,4,A,6.0,1,A ,8.533333333333333,15,A B
gravity,7,A,10.0,1,A ,12.0,1, B
hide,4,A,10.0,1, B,7.333333333333333,3,A 
horse,5,A,6.0,1,A ,7.862068965517241,29,A B
count,5,A,6.0,1,A ,10.125,8,A B
dust,4,A,11.0,1,A ,8.0,2,A B
final,5,A,5.0,1,A ,8.0,1, B
kiss,4,A,5.0,1,A ,6.5,2,A B
bank,4,A,5.0,1,A ,9.0,2,A 
bell,4,A,14.5,2, B,9.090909090909092,11,A B
bench,5,A,4.0,1,A ,8.125,8,A B
breakfast,9,A,4.0,1,A ,17.0,2, B
electricity,11,A,18.0,1, B,15.571428571428571,7,A B
identity,8,A,11.0,1,A ,12.666666666666666,3,A B
circle,6,A,7.0,1,A ,9.75,4,A B
colonel,7,A,27.0,1, B,17.0,1, B
crew,4,A,4.0,1,A ,10.5,2,A B
leg,3,A,4.0,1,A ,7.75,4,A B
legend,6,A,5.0,1,A ,15.0,1, B
lesson,6,A,8.0,1,A ,11.6,5, B
driver,6,A,8.0,1,A ,8.857142857142858,14,A B
gate,4,A,14.0,1, B,8.090909090909092,11,A B
host,4,A,5.0,1,A ,7.0,1,A 
madam,5,A,5.0,1,A ,8.0,2,A B
bridge,6,A,9.0,1,A ,11.666666666666666,15,A B
cup,3,A,8.5,2,A ,7.444444444444445,9,A B
curtain,7,A,7.5,2,A ,10.0,6,A B
exchange,8,A,18.0,1, B,21.0,1, B
balance,7,A,11.0,1,A ,13.333333333333334,3,A B
bone,4,A,16.0,1, B,8.133333333333333,60,A B
cook,4,A,13.0,1, B,6.833333333333333,6,A B
bike,4,A,12.0,1, B,8.5,2,A B
bomb,4,A,11.5,2,A B,11.137931034482758,29,A B
cellar,6,A,5.0,1,A ,9.0,1,A 
charge,6,A,6.0,1,A ,13.0,1,A 
chin,4,A,7.0,1,A ,10.0,1, B
haddock,7,A,4.0,1,A ,12.0,1, B
heat,4,A,6.0,1,A ,14.166666666666666,6, B
laboratory,10,A,9.0,1,A ,12.25,4, B
lock,4,A,8.0,1,A ,9.714285714285714,7,A B
beer,4,A,4.0,1,A ,5.25,4,A B
concrete,8,A,11.0,2,A B,12.0,2,A B
crab,4,A,17.0,1, B,10.454545454545455,11, B
express,7,A,4.0,1,A ,11.0,1, B
factor,6,A,5.0,1,A ,12.166666666666666,6,A B
card,4,A,5.0,1,A ,10.5,4, B
cesium,6,A,15.0,1, B,9.0,1, B
gasoline,8,A,7.5,2,A ,12.0,3,A B
gear,4,A,5.0,1,A ,9.333333333333334,9,A B
gray,4,A,15.0,1, B,9.5,6,A B
industry,8,A,20.0,1, B,14.703703703703704,27,A B
joke,4,A,3.0,1,A ,9.444444444444445,9,A B
belly,5,A,8.0,1, B,10.0,1,A 
corporation,11,A,4.0,1,A ,20.3,10,A B
gang,4,A,11.0,1,A ,6.5,2,A B
insurance,9,A,8.0,1,A ,15.285714285714286,14,A B
jury,4,A,4.0,1,A ,9.25,4, B
gown,4,A,5.0,1,A ,8.4,5,A B
angle,5,A,5.0,1,A ,11.212121212121213,33,A B
basin,5,A,6.0,1,A ,8.375,8,A B
bee,3,A,19.0,1, B,10.3,10,A B
economy,7,A,6.0,1,A ,14.0,6,A B
fan,3,A,6.0,1,A ,9.0,3,A B
helicopter,10,A,21.0,1, B,15.25,4,A B
match,5,A,7.0,1,A ,9.25,4,A B
milk,4,A,10.0,2,A B,11.473684210526315,19,A B
bars,4,A,18.0,1, B,18.0,1, B
candle,6,A,4.0,1,A ,7.75,4,A B
center,6,A,4.0,1,A ,9.3,10,A B
chain,5,A,6.0,1,A ,8.0,2,A B
cotton,6,A,10.0,1, B,16.666666666666668,3, B
cyanide,7,A,15.0,1, B,14.0,1,A 
dressing,8,A,5.0,1,A ,15.25,12,A B
fog,3,A,7.0,1,A ,6.0,4,A B
fountain,8,A,9.0,1,A ,16.0,1, B
grass,5,A,15.0,1, B,9.4,55,A B
mare,4,A,5.0,1,A ,9.0,1,A 
blanket,7,A,10.0,1,A ,9.8,5,A B
brief,5,A,13.0,1, B,17.0,1, B
bronze,6,A,16.0,1, B,11.75,8,A B
bullet,6,A,10.0,1,A ,10.5,4,A B
buying,6,A,8.0,1,A ,11.666666666666666,3,A B
cage,4,A,9.0,1,A ,8.333333333333334,3,A B
camera,6,A,21.0,1, B,14.0,9, B
clerk,5,A,8.0,1,A ,9.181818181818182,11,A B
dioxide,7,A,5.0,1,A ,14.0,4, B
fuse,4,A,16.0,1, B,11.666666666666666,3, B
golf,4,A,11.0,1, B,11.166666666666666,6, B
immune,6,A,6.0,1,A ,7.0,1,A 
lieutenant,10,A,27.0,1, B,14.666666666666666,3,A B
benefit,7,A,7.0,1,A ,14.166666666666666,6, B
campaign,8,A,4.0,1,A ,14.0,2, B
cushion,7,A,6.0,1,A ,10.0,1, B
edition,7,A,10.0,1,A ,11.0,2,A B
guest,5,A,7.0,1,A ,11.333333333333334,3, B
hearing,7,A,10.0,1,A ,15.0,4, B
influenza,9,A,17.5,2, B,14.0,2, B
ink,3,A,6.0,1,A ,10.6,5, B
knife,5,A,8.0,1, B,9.421052631578947,19,A B
analysis,8,A,13.0,1,A ,12.857142857142858,7,A B
arcade,6,A,10.0,1,A ,13.0,2, B
cabinet,7,A,9.0,1,A ,10.666666666666666,3,A B
code,4,A,20.0,1, B,9.25,8,A B
contract,8,A,16.0,1, B,14.357142857142858,28,A B
dictionary,10,A,8.0,1,A ,16.5,8,A B
experiment,10,A,18.0,1, B,15.75,4,A B
fantasy,7,A,11.0,1,A ,10.666666666666666,3, B
filter,6,A,6.0,1,A ,10.583333333333334,12,A B
lace,4,A,4.0,1,A ,8.0,2,A 
monday,6,A,7.0,1,A ,10.0,1,A 
bucket,6,A,6.0,1,A ,9.333333333333334,6,A B
collar,6,A,4.0,1,A ,11.0,6,A B
compass,7,A,22.0,1, B,13.0,2,A B
geography,9,A,12.0,1, B,14.666666666666666,3,A B
hedge,5,A,5.0,1,A ,10.0,2,A B
jungle,6,A,8.0,1,A ,14.0,1, B
kick,4,A,4.0,1,A ,7.8,5,A B
maser,5,A,9.0,1,A ,8.0,1, B
ash,3,A,7.0,1,A ,6.5,2, B
aunt,4,A,9.0,1,A ,10.0,2,A B
bite,4,A,5.0,1,A ,8.0,2,A B
buckle,6,A,8.0,1,A ,10.0,1, B
butter,6,A,8.0,2,A B,10.8,5,A B
cart,4,A,5.0,1,A ,8.5,8,A B
cheese,6,A,8.0,2,A B,9.576923076923077,26,A B
converter,9,A,6.0,1,A ,16.833333333333332,6, B
culture,7,A,7.0,1,A ,18.428571428571427,7, B
definition,10,A,11.0,1,A ,18.428571428571427,7,A B
lilac,5,A,5.0,1,A ,13.5,6, B
ant,3,A,19.0,1, B,10.0,9, B
axle,4,A,5.0,1,A ,7.666666666666667,3,A B
ballet,6,A,12.0,1, B,13.0,3, B
bark,4,A,8.0,1,A ,8.6,15,A B
boot,4,A,8.0,1,A ,8.714285714285714,7,A B
chart,5,A,19.0,1, B,8.88888888888889,9,A B
comb,4,A,6.0,1,A ,11.0,3,A B
detector,8,A,6.0,1,A ,13.75,4, B
ending,6,A,8.0,1,A ,12.0,2,A B
engineer,8,A,6.0,1,A ,14.461538461538462,13,A B
envelope,8,A,9.0,1,A ,14.0,1, B
gorilla,7,A,8.0,1, B,16.75,4,A B
item,4,A,4.0,1,A ,9.0,6,A B
jam,3,A,8.0,1,A ,13.0,1, B
