11,B,5,1,A ,10,2, B
7,B,3,1,A ,12,3, B
11,A,8,1, B,20,3, B
7,A,9,1,A ,12,2, B
6,A,18,1, B,10,6,A B
5,A,11,1, B,11,3,A B
6,A,8,2,A B,8,7,A B
5,A,18,3, B,10,3,A B
4,A,7,1,A ,7,5,A B
5,A,7,1,A ,7,9,A B
5,A,5,1,A ,13,6,A B
5,A,4,1,A ,11,15,A B
5,A,12,1, B,8,11,A B
5,A,4,1,A ,15,1, B
5,A,4,1,A ,10,2, B
5,A,10,1, B,8,6,A B
4,A,20,1, B,7,8,A B
4,A,20,1, B,10,17,A B
3,A,12,1, B,7,31,A B
3,A,15,1, B,8,3,A B
3,A,4,1,A ,7,2, B
