file, flesch_kincaid_grade, dale_chall_readability_score
data/Vietnamese_by_catalog/Difficult/l/l (208).txt,-0.7,1.9
data/Vietnamese_by_catalog/Difficult/l/l (209).txt,1.9,2.22
data/Vietnamese_by_catalog/Difficult/l/l (121).txt,-1.8,1.76
data/Vietnamese_by_catalog/Difficult/l/l (141).txt,9.4,3.18
data/Vietnamese_by_catalog/Difficult/l/l (161).txt,2.6,2.31
data/Vietnamese_by_catalog/Difficult/l/l (181).txt,-1.8,1.75
data/Vietnamese_by_catalog/Difficult/l/l (210).txt,-3.5,1.54
data/Vietnamese_by_catalog/Difficult/l/l (41).txt,-4.0,1.47
data/Vietnamese_by_catalog/Difficult/l/l (59).txt,0.2,2.01
data/Vietnamese_by_catalog/Difficult/l/l (80).txt,-2.1,1.71
data/Vietnamese_by_catalog/Difficult/l/l (60).txt,1.3,2.15
data/Vietnamese_by_catalog/Difficult/l/l (62).txt,-1.4,1.81
data/Vietnamese_by_catalog/Difficult/l/l (63).txt,-1.6,1.78
data/Vietnamese_by_catalog/Difficult/l/l (64).txt,2.5,2.31
data/Vietnamese_by_catalog/Difficult/l/l (65).txt,-4.5,1.41
data/Vietnamese_by_catalog/Difficult/l/l (66).txt,-1.1,1.85
data/Vietnamese_by_catalog/Difficult/l/l (68).txt,-1.2,1.83
data/Vietnamese_by_catalog/Difficult/l/l (72).txt,0.1,2.0
data/Vietnamese_by_catalog/Difficult/l/l (73).txt,2.1,2.25
data/Vietnamese_by_catalog/Difficult/l/l (74).txt,7.1,2.88
data/Vietnamese_by_catalog/Difficult/l/l (75).txt,-1.0,1.85
data/Vietnamese_by_catalog/Difficult/l/l (76).txt,2.5,2.31
data/Vietnamese_by_catalog/Difficult/l/l (77).txt,1.8,2.21
data/Vietnamese_by_catalog/Difficult/l/l (78).txt,-2.5,1.67
data/Vietnamese_by_catalog/Difficult/l/l (79).txt,-4.1,1.46
data/Vietnamese_by_catalog/Difficult/l/l (8).txt,1.8,2.21
data/Vietnamese_by_catalog/Difficult/l/l (211).txt,1.1,2.12
data/Vietnamese_by_catalog/Difficult/l/l (212).txt,4.9,2.61
data/Vietnamese_by_catalog/Difficult/l/l (214).txt,0.6,2.06
data/Vietnamese_by_catalog/Difficult/l/l (215).txt,4.8,2.6
data/Vietnamese_by_catalog/Difficult/l/l (216).txt,-2.2,1.7
data/Vietnamese_by_catalog/Difficult/l/l (217).txt,2.3,2.28
data/Vietnamese_by_catalog/Difficult/l/l (218).txt,-2.2,1.71
data/Vietnamese_by_catalog/Difficult/l/l (219).txt,-0.3,1.94
data/Vietnamese_by_catalog/Difficult/l/l (220).txt,-3.6,1.52
data/Vietnamese_by_catalog/Difficult/l/l (225).txt,-2.5,1.67
data/Vietnamese_by_catalog/Difficult/l/l (226).txt,2.1,2.25
data/Vietnamese_by_catalog/Difficult/l/l (227).txt,1.4,2.16
data/Vietnamese_by_catalog/Difficult/l/l (23).txt,2.9,2.36
data/Vietnamese_by_catalog/Difficult/l/l (24).txt,-0.2,1.96
data/Vietnamese_by_catalog/Difficult/l/l (26).txt,0.9,2.1
data/Vietnamese_by_catalog/Difficult/l/l (27).txt,-0.7,1.9
data/Vietnamese_by_catalog/Difficult/l/l (28).txt,-2.1,1.72
data/Vietnamese_by_catalog/Difficult/l/l (30).txt,-7.8,0.99
data/Vietnamese_by_catalog/Difficult/l/l (32).txt,-4.4,1.42
