13,B,7.0,1,A ,19.333333333333332,3,A B
13,B,7.0,1,A ,16.333333333333332,3, B
13,B,6.0,1,A ,17.0,1, B
13,B,7.0,1,A ,19.5,2, B
13,B,18.0,1, B,25.0,1, B
13,B,4.0,1,A ,19.0,3, B
13,B,4.0,1,A ,13.0,2, B
13,B,11.0,1, B,13.0,2, B
13,B,7.0,1,A ,18.5,2, B
12,B,10.0,1,A ,16.0,1, B
12,B,4.0,1,A ,14.5,2, B
12,B,4.0,1,A ,16.0,3, B
12,B,15.0,1, B,19.0,2, B
12,B,7.0,1,A ,26.0,2, B
12,B,7.0,1,A ,12.0,1, B
12,B,10.0,1, B,18.0,1, B
12,B,18.0,1, B,18.0,1, B
12,B,7.0,1,A ,20.5,2, B
12,B,6.0,1,A ,19.5,2, B
12,B,5.0,1,A ,17.0,1, B
12,B,19.0,1, B,17.5,4, B
12,B,8.0,1, B,18.5,2, B
12,B,7.0,1,A ,15.5,4, B
12,B,4.0,1,A ,19.0,1, B
12,B,10.0,1, B,14.0,3, B
12,B,6.0,1,A ,13.0,1, B
12,B,11.0,1, B,18.0,2, B
12,B,6.0,1,A ,18.2,5, B
12,B,4.0,1,A ,13.0,2, B
12,B,10.0,1,A ,21.0,3, B
12,B,4.0,1,A ,18.5,2, B
12,B,6.0,1,A ,18.333333333333332,3, B
12,B,13.0,1, B,18.0,1, B
12,B,4.0,1,A ,19.0,3, B
12,B,9.0,1, B,14.0,1, B
12,B,7.0,1,A ,21.666666666666668,3, B
12,B,8.0,2,A B,17.0,2, B
12,B,3.0,1,A ,15.0,3,A B
12,B,10.0,1, B,17.0,1, B
12,B,12.0,1, B,14.0,4, B
12,B,9.0,1, B,17.0,4, B
12,B,6.0,1,A ,18.333333333333332,3, B
12,B,4.0,1,A ,16.0,1, B
12,B,10.0,1,A ,14.333333333333334,6,A B
12,B,10.0,1,A ,16.0,1, B
12,B,11.0,1, B,15.0,1, B
12,B,5.0,1,A ,17.0,2, B
12,B,10.0,1, B,16.5,2, B
12,B,4.0,1,A ,18.333333333333332,3, B
12,B,7.0,1,A ,16.0,1, B
12,B,12.0,1, B,17.5,2, B
11,B,7.0,1,A ,16.5,2, B
11,B,5.0,1,A ,14.0,1, B
11,B,6.0,1,A ,15.5,2, B
11,B,10.0,1,A ,17.0,1, B
11,B,10.0,1, B,10.5,2, B
11,B,5.0,1,A ,17.0,1, B
11,B,5.0,1,A ,16.0,1, B
11,B,6.0,1,A ,23.0,1, B
11,B,9.0,1,A ,22.0,1, B
11,B,6.0,1,A ,17.333333333333332,3, B
11,B,8.0,1,A ,15.5,2, B
11,B,4.0,1,A ,18.5,2, B
11,B,9.0,1, B,15.0,1, B
11,B,15.0,1, B,21.0,2, B
11,B,11.0,1, B,18.0,2, B
11,B,7.0,1,A ,22.0,2, B
11,B,15.0,1,A ,17.0,1, B
11,B,5.0,1,A ,10.5,2, B
11,B,10.0,1, B,18.0,1, B
11,B,4.0,1,A ,23.5,2, B
11,B,4.0,1,A ,15.0,1, B
11,B,10.0,1, B,17.0,1, B
11,B,4.0,1,A ,19.0,1, B
11,B,4.0,1,A ,15.0,1, B
11,B,8.0,2,A B,17.0,2, B
11,B,5.0,1,A ,23.5,2, B
11,B,6.0,1,A ,19.0,2, B
11,B,5.0,1,A ,17.333333333333332,3, B
11,B,6.0,1,A ,18.5,2, B
11,B,6.0,1,A ,16.8,5, B
11,B,4.0,1,A ,14.333333333333334,3, B
11,B,19.0,1, B,23.0,1, B
11,B,6.0,1, B,14.333333333333334,3,A B
11,B,14.0,1, B,19.0,2, B
11,B,6.0,1,A ,18.0,2, B
11,B,5.0,1,A ,19.666666666666668,3, B
11,B,5.0,1,A ,17.5,2, B
11,B,6.0,1,A ,18.0,1, B
11,B,11.0,1,A ,14.0,1, B
10,B,12.0,1, B,14.0,1, B
10,B,4.0,1,A ,13.5,2, B
10,B,4.0,1,A ,14.0,1, B
10,B,6.0,1,A ,16.0,1, B
10,B,5.0,1,A ,9.0,1,A 
10,B,4.0,1,A ,17.0,1, B
