file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Difficult/tl/tl (153).txt,10630,384,74834
data/ppVietnamese_by_catalog/Difficult/tl/tl (56).txt,4542,280,29961
data/ppVietnamese_by_catalog/Difficult/tl/tl (61).txt,6737,256,45933
data/ppVietnamese_by_catalog/Difficult/tl/tl (4).txt,2847,147,18810
data/ppVietnamese_by_catalog/Difficult/tl/tl (138).txt,10166,325,68620
data/ppVietnamese_by_catalog/Difficult/tl/tl (39).txt,1640,75,11884
data/ppVietnamese_by_catalog/Difficult/tl/tl (78).txt,5438,275,40079
data/ppVietnamese_by_catalog/Difficult/tl/tl (58).txt,8989,580,65810
data/ppVietnamese_by_catalog/Difficult/tl/tl (166).txt,3672,172,26212
data/ppVietnamese_by_catalog/Difficult/tl/tl (70).txt,6264,307,42956
data/ppVietnamese_by_catalog/Difficult/tl/tl (67).txt,10914,659,73073
data/ppVietnamese_by_catalog/Difficult/tl/tl (32).txt,5432,272,40054
data/ppVietnamese_by_catalog/Difficult/tl/tl (45).txt,8531,392,57807
data/ppVietnamese_by_catalog/Difficult/tl/tl (63).txt,5438,274,40078
data/ppVietnamese_by_catalog/Difficult/tl/tl (31).txt,3981,239,28835
data/ppVietnamese_by_catalog/Difficult/tl/tl (10).txt,6306,226,45801
data/ppVietnamese_by_catalog/Difficult/tl/tl (69).txt,8956,561,58407
data/ppVietnamese_by_catalog/Difficult/tl/tl (127).txt,4546,229,33661
data/ppVietnamese_by_catalog/Difficult/tl/tl (170).txt,4292,232,27933
data/ppVietnamese_by_catalog/Difficult/tl/tl (11).txt,1782,83,11908
data/ppVietnamese_by_catalog/Difficult/tl/tl (151).txt,9353,491,67271
data/ppVietnamese_by_catalog/Difficult/tl/tl (3).txt,3575,235,27501
data/ppVietnamese_by_catalog/Difficult/tl/tl (19).txt,4735,238,33382
data/ppVietnamese_by_catalog/Difficult/tl/tl (112).txt,8790,357,61829
data/ppVietnamese_by_catalog/Difficult/tl/tl (90).txt,3431,183,22832
data/ppVietnamese_by_catalog/Difficult/tl/tl (172).txt,7385,334,54385
data/ppVietnamese_by_catalog/Difficult/tl/tl (26).txt,5217,491,33133
data/ppVietnamese_by_catalog/Difficult/tl/tl (134).txt,7206,372,52844
data/ppVietnamese_by_catalog/Difficult/tl/tl (102).txt,5099,223,38394
data/ppVietnamese_by_catalog/Difficult/tl/tl (75).txt,7347,334,51564
data/ppVietnamese_by_catalog/Difficult/tl/tl (142).txt,10264,449,68356
data/ppVietnamese_by_catalog/Difficult/tl/tl (57).txt,6169,348,43260
data/ppVietnamese_by_catalog/Difficult/tl/tl (62).txt,7800,166,57630
data/ppVietnamese_by_catalog/Difficult/tl/tl (53).txt,1766,93,12324
data/ppVietnamese_by_catalog/Difficult/tl/tl (130).txt,3581,187,23621
data/ppVietnamese_by_catalog/Difficult/tl/tl (129).txt,9715,572,67056
data/ppVietnamese_by_catalog/Difficult/tl/tl (51).txt,6258,302,46097
data/ppVietnamese_by_catalog/Difficult/tl/tl (49).txt,5058,215,35070
data/ppVietnamese_by_catalog/Difficult/tl/tl (115).txt,6882,790,46354
data/ppVietnamese_by_catalog/Difficult/tl/tl (118).txt,8055,400,57320
data/ppVietnamese_by_catalog/Difficult/tl/tl (36).txt,3769,234,24366
data/ppVietnamese_by_catalog/Difficult/tl/tl (99).txt,5438,258,40898
data/ppVietnamese_by_catalog/Difficult/tl/tl (60).txt,4673,257,34357
data/ppVietnamese_by_catalog/Difficult/tl/tl (18).txt,8956,561,58407
data/ppVietnamese_by_catalog/Difficult/tl/tl (38).txt,5752,356,39857
data/ppVietnamese_by_catalog/Difficult/tl/tl (119).txt,2637,156,18366
data/ppVietnamese_by_catalog/Difficult/tl/tl (126).txt,5117,217,36746
data/ppVietnamese_by_catalog/Difficult/tl/tl (41).txt,5786,289,40563
data/ppVietnamese_by_catalog/Difficult/tl/tl (125).txt,5225,213,37785
data/ppVietnamese_by_catalog/Difficult/tl/tl (120).txt,6128,249,45537
data/ppVietnamese_by_catalog/Difficult/tl/tl (164).txt,2465,94,17057
data/ppVietnamese_by_catalog/Difficult/tl/tl (86).txt,8513,354,60118
data/ppVietnamese_by_catalog/Difficult/tl/tl (8).txt,3690,218,29172
data/ppVietnamese_by_catalog/Difficult/tl/tl (80).txt,5934,261,45543
data/ppVietnamese_by_catalog/Difficult/tl/tl (76).txt,2317,112,16949
data/ppVietnamese_by_catalog/Difficult/tl/tl (137).txt,9962,265,72460
data/ppVietnamese_by_catalog/Difficult/tl/tl (68).txt,6168,242,43830
data/ppVietnamese_by_catalog/Difficult/tl/tl (89).txt,8244,504,59029
data/ppVietnamese_by_catalog/Difficult/tl/tl (165).txt,3672,172,26212
data/ppVietnamese_by_catalog/Difficult/tl/tl (140).txt,2844,114,20344
data/ppVietnamese_by_catalog/Difficult/tl/tl (98).txt,7845,340,57295
data/ppVietnamese_by_catalog/Difficult/tl/tl (108).txt,8607,459,62312
data/ppVietnamese_by_catalog/Difficult/tl/tl (50).txt,1610,140,12600
data/ppVietnamese_by_catalog/Difficult/tl/tl (168).txt,6565,279,49373
data/ppVietnamese_by_catalog/Difficult/tl/tl (171).txt,4806,206,34514
data/ppVietnamese_by_catalog/Difficult/tl/tl (162).txt,3185,123,22118
data/ppVietnamese_by_catalog/Difficult/tl/tl (6).txt,3985,188,30739
data/ppVietnamese_by_catalog/Difficult/tl/tl (97).txt,1414,67,9703
data/ppVietnamese_by_catalog/Difficult/tl/tl (83).txt,6125,302,47002
data/ppVietnamese_by_catalog/Difficult/tl/tl (13).txt,5994,302,43639
data/ppVietnamese_by_catalog/Difficult/tl/tl (74).txt,3035,149,20526
data/ppVietnamese_by_catalog/Difficult/tl/tl (35).txt,4603,356,29628
data/ppVietnamese_by_catalog/Difficult/tl/tl (54).txt,4418,146,31575
data/ppVietnamese_by_catalog/Difficult/tl/tl (59).txt,4749,242,34497
data/ppVietnamese_by_catalog/Difficult/tl/tl (79).txt,3875,137,29147
data/ppVietnamese_by_catalog/Difficult/tl/tl (14).txt,5275,183,41970
data/ppVietnamese_by_catalog/Difficult/tl/tl (55).txt,4363,208,34073
data/ppVietnamese_by_catalog/Difficult/tl/tl (149).txt,5878,372,42228
data/ppVietnamese_by_catalog/Difficult/tl/tl (113).txt,4235,201,28994
data/ppVietnamese_by_catalog/Difficult/tl/tl (85).txt,3403,144,25233
data/ppVietnamese_by_catalog/Difficult/tl/tl (52).txt,2444,103,18101
data/ppVietnamese_by_catalog/Difficult/tl/tl (114).txt,2547,215,18545
data/ppVietnamese_by_catalog/Difficult/tl/tl (20).txt,10019,533,70804
data/ppVietnamese_by_catalog/Difficult/tl/tl (167).txt,3797,202,25093
data/ppVietnamese_by_catalog/Difficult/tl/tl (1).txt,2575,155,18538
data/ppVietnamese_by_catalog/Difficult/tl/tl (154).txt,8588,464,64216
data/ppVietnamese_by_catalog/Difficult/tl/tl (29).txt,3895,276,26552
data/ppVietnamese_by_catalog/Difficult/tl/tl (17).txt,8039,353,57941
data/ppVietnamese_by_catalog/Difficult/tl/tl (117).txt,4413,217,31105
data/ppVietnamese_by_catalog/Difficult/tl/tl (30).txt,5071,230,35070
data/ppVietnamese_by_catalog/Difficult/tl/tl (27).txt,2080,105,15623
data/ppVietnamese_by_catalog/Difficult/tl/tl (92).txt,3846,185,27855
data/ppVietnamese_by_catalog/Difficult/tl/tl (122).txt,1983,116,13936
data/ppVietnamese_by_catalog/Difficult/tl/tl (161).txt,4060,190,30948
data/ppVietnamese_by_catalog/Difficult/tl/tl (77).txt,9382,410,71562
data/ppVietnamese_by_catalog/Difficult/tl/tl (44).txt,7052,390,46689
data/ppVietnamese_by_catalog/Difficult/tl/tl (73).txt,5480,242,42863
data/ppVietnamese_by_catalog/Difficult/tl/tl (93).txt,8173,382,59914
data/ppVietnamese_by_catalog/Difficult/tl/tl (132).txt,9083,424,64041
data/ppVietnamese_by_catalog/Difficult/l/l (28).txt,2345,101,17556
data/ppVietnamese_by_catalog/Difficult/tl/tl (133).txt,7576,1114,51435
data/ppVietnamese_by_catalog/Difficult/l/l (192).txt,1153,50,8228
data/ppVietnamese_by_catalog/Difficult/tl/tl (131).txt,9095,425,64131
data/ppVietnamese_by_catalog/Difficult/tl/tl (91).txt,7447,333,53248
data/ppVietnamese_by_catalog/Difficult/tl/tl (157).txt,4392,174,27791
data/ppVietnamese_by_catalog/Difficult/tl/tl (106).txt,9238,1075,62406
data/ppVietnamese_by_catalog/Difficult/tl/tl (66).txt,6589,282,48076
