file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (56).txt,61,4,348
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (472).txt,193,11,1074
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (166).txt,291,13,1676
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (319).txt,586,29,3571
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (98).txt,318,17,2125
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (412).txt,571,25,3578
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (94).txt,238,13,1586
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (107).txt,105,13,691
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (277).txt,805,45,5023
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (113).txt,284,9,1717
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (36).txt,267,13,1825
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (186).txt,637,29,4299
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (218).txt,253,10,1568
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (456).txt,190,10,1238
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (384).txt,738,42,4507
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (316).txt,193,9,1195
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (150).txt,649,32,3475
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (70).txt,104,4,629
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (248).txt,220,11,1345
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (60).txt,686,47,4581
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (123).txt,960,42,5983
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (37).txt,698,33,4130
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (127).txt,351,18,2056
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (95).txt,478,13,3226
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (305).txt,999,42,6167
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (468).txt,200,9,1318
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (34).txt,721,34,4399
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (45).txt,1186,56,7014
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (275).txt,310,15,1960
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (49).txt,452,22,2781
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (445).txt,148,7,1010
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (243).txt,160,7,979
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (220).txt,108,4,818
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (67).txt,438,17,2886
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (111).txt,176,9,1050
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (133).txt,234,14,1438
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (401).txt,582,24,3786
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (273).txt,149,6,938
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (286).txt,811,36,5062
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (167).txt,176,8,1102
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (105).txt,1005,49,6421
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (135).txt,712,38,4453
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (210).txt,648,36,3578
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (86).txt,70,4,443
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (120).txt,234,10,1667
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (1).txt,291,16,1852
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (510).txt,768,33,5360
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (259).txt,125,6,961
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (438).txt,188,9,1276
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (410).txt,188,15,1300
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (145).txt,388,17,2288
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (342).txt,2192,99,12718
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (329).txt,1545,75,9688
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (129).txt,845,43,4984
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (443).txt,202,10,1265
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (22).txt,474,30,3309
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (173).txt,374,17,2137
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (493).txt,209,14,1180
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (425).txt,190,9,1199
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (485).txt,1455,76,8907
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (91).txt,312,10,1955
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (179).txt,817,31,4847
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,259,14,1604
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (51).txt,1153,63,7314
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (308).txt,546,34,3217
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (285).txt,172,8,1103
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (295).txt,549,21,3500
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (216).txt,443,17,2750
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (460).txt,531,21,3348
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (93).txt,284,10,1713
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (477).txt,593,34,3562
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (241).txt,674,33,3963
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (154).txt,293,12,2212
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (249).txt,156,5,959
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (59).txt,516,26,3269
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (496).txt,495,46,3116
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (89).txt,312,10,1955
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (373).txt,270,20,1758
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (14).txt,239,9,1537
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (335).txt,400,19,2305
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (414).txt,425,17,2778
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (444).txt,927,51,5893
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (458).txt,106,3,670
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (153).txt,431,20,2642
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (211).txt,160,5,989
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (499).txt,285,16,1916
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (439).txt,215,9,1357
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (7).txt,249,8,1455
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (313).txt,737,30,4764
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (121).txt,714,31,4547
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (31).txt,1145,66,6577
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (68).txt,559,19,3401
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (377).txt,721,37,4589
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (349).txt,456,22,2741
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (370).txt,272,16,1568
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (503).txt,414,26,2638
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (311).txt,282,16,1890
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (381).txt,835,42,4836
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (64).txt,357,15,2314
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (296).txt,1428,64,8708
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (462).txt,170,9,1157
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (509).txt,885,39,6088
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (10).txt,388,18,2461
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (389).txt,301,9,1868
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (365).txt,309,12,2009
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (391).txt,276,10,1695
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (208).txt,604,37,3621
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (473).txt,414,19,2503
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (215).txt,266,14,1634
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (128).txt,548,20,3143
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (379).txt,396,17,2268
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (283).txt,306,11,2166
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (364).txt,430,16,2709
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (63).txt,161,7,987
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (16).txt,316,12,2012
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (213).txt,136,5,878
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (258).txt,234,12,1415
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (147).txt,224,11,1504
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (192).txt,323,14,1938
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (340).txt,501,21,3208
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (434).txt,179,8,1063
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (487).txt,60,9,359
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (446).txt,583,29,3379
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (356).txt,208,8,1306
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (163).txt,756,32,5106
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (27).txt,787,31,4942
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (183).txt,120,4,772
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (437).txt,267,13,1629
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (409).txt,378,19,2372
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (9).txt,1105,70,6804
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (504).txt,179,22,1239
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (62).txt,161,7,987
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (264).txt,505,33,3233
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (287).txt,798,42,4599
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (103).txt,1210,65,7918
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (480).txt,256,16,1541
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (489).txt,561,32,3406
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (73).txt,622,28,3955
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (317).txt,376,15,2767
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (498).txt,195,39,1698
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (280).txt,387,18,2302
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (85).txt,107,5,615
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (270).txt,144,9,789
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (8).txt,161,9,1027
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (361).txt,1047,56,5771
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (363).txt,181,9,1089
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (174).txt,793,50,4680
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (415).txt,182,11,1238
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (138).txt,623,33,3387
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (26).txt,787,31,4942
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,132,9,778
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (144).txt,211,8,1376
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (130).txt,548,20,3143
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (97).txt,318,16,2125
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (383).txt,634,22,3891
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (244).txt,92,2,608
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (307).txt,193,10,1221
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (411).txt,727,37,4728
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (152).txt,190,11,1135
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (2).txt,879,47,5820
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (442).txt,201,11,1147
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (459).txt,1049,79,6026
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (426).txt,156,5,883
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (449).txt,102,6,600
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (201).txt,682,54,3939
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (494).txt,361,23,2224
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (380).txt,237,11,1460
