movable barrier,0/44,0,0,0,0,0,0,0
door,18/23,79,13,5,0,0,0,0
car door,0/2,0,0,0,0,0,0,0
woman,17/244,7,14,3,0,0,0,0
girl,9/54,17,9,0,0,0,0,0
baby,7/32,22,4,3,0,0,0,0
activity,9/5223,1,3,2,2,2,0,0
help,4/89,5,2,2,0,0,0,0
accommodation,0/4,0,0,0,0,0,0,0
change,3/279,2,1,2,0,0,0,0
death,4/17,24,3,1,0,0,0,0
fatality,0/5,0,0,0,0,0,0,0
happening,0/1718,0,0,0,0,0,0,0
change,3/279,2,1,2,0,0,0,0
acceleration,0/3,0,0,0,0,0,0,0
work time,0/30,0,0,0,0,0,0,0
hours,0/20,0,0,0,0,0,0,0
shift,0/3,0,0,0,0,0,0,0
hominid,0/51,0,0,0,0,0,0,0
human,5/27,19,5,0,0,0,0,0
homo erectus,0/3,0,0,0,0,0,0,0
statement,8/662,2,7,0,1,0,0,0
answer,0/2,0,0,0,0,0,0,0
feedback,2/5,40,2,0,0,0,0,0
outdoor sport,0/25,0,0,0,0,0,0,0
fishing,2/11,19,0,2,0,0,0,0
angling,0/3,0,0,0,0,0,0,0
natural virtue,0/33,0,0,0,0,0,0,0
justice,0/6,0,0,0,0,0,0,0
fairness,0/2,0,0,0,0,0,0,0
enterprise,1/13,8,1,0,0,0,0,0
business,5/136,4,2,1,1,1,0,0
agency,3/232,2,3,0,0,0,0,0
tract,0/253,0,0,0,0,0,0,0
common,0/5,0,0,0,0,0,0,0
amusement park,0/1,0,0,0,0,0,0,0
representation,1/127,1,1,0,0,0,0,0
map,6/13,47,6,0,0,0,0,0
chart,7/14,50,7,0,0,0,0,0
chromatic color,0/168,0,0,0,0,0,0,0
green,14/19,74,14,0,0,0,0,0
bluish green,0/1,0,0,0,0,0,0,0
committee,8/59,14,8,0,0,0,0,0
board,15/23,66,12,3,0,0,0,0
advisory board,0/6,0,0,0,0,0,0,0
clothing,5/970,1,4,0,1,0,0,0
clothes,0/7,0,0,0,0,0,0,0
workwear,0/6,0,0,0,0,0,0,0
rate,33/158,21,28,5,0,0,0,0
frequency,14/33,43,4,10,0,0,0,0
attendance,0/5,0,0,0,0,0,0,0
representation,1/127,1,1,0,0,0,0,0
memory,2/6,34,2,0,0,0,0,0
confabulation,0/13,0,0,0,0,0,0,0
psychological feature,0/11903,0,0,0,0,0,0,0
event,20/11206,1,3,5,2,4,4,2
act,4/45,9,1,3,0,0,0,0
corridor,0/4,0,0,0,0,0,0,0
hall,0/1,0,0,0,0,0,0,0
concourse,0/6,0,0,0,0,0,0,0
psychological feature,0/11903,0,0,0,0,0,0,0
knowledge,10/4785,1,2,6,1,0,1,0
ability,11/54,21,5,6,0,0,0,0
basic cognitive process,0/495,0,0,0,0,0,0,0
attention,1/15,7,1,0,0,0,0,0
attentiveness,0/2,0,0,0,0,0,0,0
purchase,1/11,10,1,0,0,0,0,0
